Genes,Ensembl_ID,Probe_ID,,Genes,HGU133Plus2,HGU133A,,,From,Gene,Ensembl_ID,HGU133Plus2,HGU133A
BCMA,ENSG00000048462,206641_at,,BCMA,206641_at,206641_at,,,NM_000291,PGK1,ENSG00000102144,200738_s_at,200738_s_at
CD38,ENSG00000004468,205692_s_at,,CD38,205692_s_at,205692_s_at,,,NM_004898,CLOCK,ENSG00000134852,204980_at,204980_at
CD56,ENSG00000149294,212843_at,,CD56,227394_at,212843_at,,,NM_007363,NONO,ENSG00000147140,200057_s_at,200057_s_at
CD138,ENSG00000115884,201287_s_at,,CD138,201287_s_at,201287_s_at,,,,,,,
TACI,ENSG00000240505,207641_at,,TACI,207641_at,207641_at,,,,,,,
SLAMF7,ENSG00000026751,219159_s_at,,SLAMF7,222838_at,219159_s_at,,,,,,,
CD19,ENSG00000177455,206398_s_at,,CD19,206398_s_at,206398_s_at,,,,,,,
LY9,ENSG00000122224,215967_s_at,,LY9,231124_x_at,215967_s_at,,,NM_002808,PSMD2,ENSG00000175166,200830_at,200830_at
ITGB7,ENSG00000139626,205718_at,,ITGB7,205718_at,205718_at,,low,NM_002714,PPP1R10,ENSG00000204569,201703_s_at,201703_s_at
GPRC5D,ENSG00000111291,221297_at,,GPRC5D,221297_at,221297_at,,low,NM_002809,PSMD3,ENSG00000108344,201388_at,201388_at
CD40,ENSG00000101017,35150_at,,CD40,35150_at,35150_at,,,,,,,
CD44,ENSG00000026508,212063_at,,CD44,212063_at,212063_at,,,,,,,
CD47,ENSG00000196776,213857_s_at,,CD47,211075_s_at,213857_s_at,,low,NM_004309,ARHGDIA,ENSG00000141522,213606_s_at,213606_s_at
BST2,ENSG00000130303,201641_at,,BST2,201641_at,201641_at,,high,NM_001961,EEF2,ENSG00000167658,204102_s_at,204102_s_at
IGF1R,ENSG00000140443,203628_at,,IGF1R,225330_at,203628_at,,high,NM_000975,RPL11,ENSG00000142676,200010_at,200010_at
ICAM1,ENSG00000090339,202637_s_at,,ICAM1,202637_s_at,202637_s_at,,,,,,,
CD74,ENSG00000019582,209619_at,,CD74,209619_at,209619_at,,,,,,,
CD81,ENSG00000110651,200675_at,,CD81,200675_at,200675_at,,high,NM_007355,HSP90AB1,ENSG00000096384,200064_at,200064_at
CD86,ENSG00000114013,210895_s_at,,CD86,210895_s_at,210895_s_at,,,,,,,
CD200,ENSG00000091972,209583_s_at,,CD200,209583_s_at,209583_s_at,,,,,,,
IGKC,ENSG00000211592,221651_x_at,,IGKC,221651_x_at,221651_x_at,,,,,,,
FUT3,ENSG00000171124,214088_s_at,,FUT3,214088_s_at,214088_s_at,,,,,,,
CD70,ENSG00000125726,206508_at,,CD70,206508_at,206508_at,,,,,,,
CD1D,ENSG00000158473,205789_at,,CD1D,205789_at,205789_at,,,,,,,
NDUFA2,ENSG00000131495,209223_at,,NDUFA2,209223_at,209223_at,,,,,,,
POLR2L,ENSG00000177700,202586_at,,POLR2L,202586_at,202586_at,,,,,,,
PPP2R1A,ENSG00000105568,200695_at,,PPP2R1A,200695_at,200695_at,,,,,,,
,,,,ACTB,,,,,,,,,
