"illumina_humanht_12_v4","hgnc_symbol"
"ILMN_1723480","BST2"
"ILMN_1782704","CD19"
"ILMN_1719433","CD1D"
"ILMN_1706722","CD200"
"ILMN_2233783","CD38"
"ILMN_1779257","CD40"
"ILMN_1803429","CD44"
"ILMN_1771333","CD47"
"ILMN_1760247","CD70"
"ILMN_2379644","CD74"
"ILMN_1689953","CD81"
"ILMN_1782560","CD86"
"ILMN_1653358","FUT3"
"ILMN_1781145","GPRC5D"
"ILMN_1734660","ICAM1"
"ILMN_1744023","IGF1R"
"ILMN_1777519","ITGB7"
"ILMN_1731928","LY9"
"ILMN_1702305","NCAM1"
"ILMN_1768953","SDC1"
"ILMN_1710923","SLAMF7"
"ILMN_1759075","TNFRSF13B"
"ILMN_1768016","TNFRSF17"
